user_id, session_id, timestamp          , country     , region      , page    , action            , time_spent, device , traffic_source, service        , converted, engagement_level, user_type
    716,      75180, 2024-04-03 02:56:00, Kenya       , Nairobi     , Services, Scroll            ,        271, Desktop, Organic       , Cloud Security ,         0, High            , New
    402,      83525, 2024-05-17 05:37:00, Kenya       , Nairobi     , Services, Scroll            ,        235, Desktop, Direct        , Cloud Security ,         0, Medium          , Returning
    475,      67039, 2024-02-22 06:43:00, Botswana    , Gaborone    , Contact , Scroll            ,        120, Desktop, Paid Ads      , AI Security    ,         0, Low             , New
    713,      42475, 2024-01-22 17:28:00, South Africa, Johannesburg, Home    , Page View         ,         96, Mobile , Social Media  , Data Protection,         0, Low             , New
    945,      60762, 2024-01-22 01:09:00, South Africa, Johannesburg, Services, Page View         ,        159, Mobile , Organic       , AI Security    ,         0, Medium          , Returning
     55,      77574, 2024-05-28 02:41:00, Kenya       , Nairobi     , Home    , Page View         ,        143, Mobile , Direct        , AI Security    ,         0, Medium          , New
    464,      15412, 2024-01-22 23:50:00, South Africa, Johannesburg, Services, Event Registration,         63, Mobile , Direct        , Data Protection,         1, Low             , New
    159,      51212, 2024-01-23 18:17:00, USA         , New York    , Blog    , Scroll            ,        180, Desktop, Organic       , Risk Assessment,         0, Medium          , Returning
    999,      73502, 2024-06-29 17:31:00, USA         , New York    , Home    , Demo Request      ,        275, Desktop, Paid Ads      , AI Security    ,         1, High            , Returning
    424,      18360, 2024-06-10 03:30:00, USA         , New York    , Blog    , Click             ,         67, Desktop, Direct        , Data Protection,         0, Low             , New
    118,      11317, 2024-02-15 23:44:00, Kenya       , Nairobi     , Services, Click             ,         52, Mobile , Social Media  , Cloud Security ,         0, Low             , New
   1038,      23385, 2024-02-06 07:32:00, Botswana    , Gaborone    , Pricing , Demo Request      ,         12, Mobile , Social Media  , AI Security    ,         1, Low             , Returning
    258,      93314, 2024-06-01 11:16:00, Kenya       , Nairobi     , About   , Page View         ,        235, Desktop, Paid Ads      , Risk Assessment,         0, Medium          , Returning
    920,      12588, 2024-02-24 15:13:00, Botswana    , Gaborone    , Blog    , Page View         ,         52, Mobile , Direct        , Risk Assessment,         0, Low             , New
     59,      32369, 2024-02-10 00:36:00, India       , Mumbai      , Services, Event Registration,        361, Desktop, Paid Ads      , Cloud Security ,         1, High            , New
     77,      72874, 2024-03-08 14:00:00, Nigeria     , Lagos       , Pricing , Page View         ,        389, Desktop, Paid Ads      , AI Security    ,         0, High            , New
    928,      14955, 2024-01-18 21:20:00, USA         , New York    , Services, Demo Request      ,        150, Mobile , Paid Ads      , Risk Assessment,         1, Medium          , New
    451,      86751, 2024-05-03 16:16:00, Kenya       , Nairobi     , Blog    , Page View         ,         54, Mobile , Paid Ads      , AI Security    ,         0, Low             , New
    348,      76422, 2024-04-12 02:57:00, Nigeria     , Lagos       , Home    , Click             ,         43, Mobile , Direct        , Data Protection,         0, Low             , Returning
    265,      77808, 2024-05-23 14:50:00, South Africa, Johannesburg, Services, Click             ,        176, Desktop, Paid Ads      , AI Security    ,         0, Medium          , New
    571,      20775, 2024-05-30 11:14:00, Nigeria     , Lagos       , Pricing , Click             ,        106, Mobile , Social Media  , Cloud Security ,         0, Low             , New
    860,      85399, 2024-05-03 19:46:00, Kenya       , Nairobi     , Pricing , Click             ,        116, Mobile , Paid Ads      , Data Protection,         0, Low             , New
    587,      85810, 2024-03-06 10:46:00, Botswana    , Gaborone    , Pricing , Scroll            ,         55, Mobile , Social Media  , Risk Assessment,         0, Low             , New
    867,      67778, 2024-03-01 17:53:00, Botswana    , Gaborone    , Blog    , Click             ,        230, Desktop, Social Media  , Data Protection,         0, Medium          , Returning
   1116,      20334, 2024-06-28 17:34:00, South Africa, Johannesburg, Services, Page View         ,         41, Mobile , Social Media  , Data Protection,         0, Low             , Returning
    178,      25990, 2024-05-18 16:47:00, Botswana    , Gaborone    , Home    , Page View         ,         62, Mobile , Direct        , AI Security    ,         0, Low             , New
   1107,      64982, 2024-05-27 21:42:00, India       , Mumbai      , Blog    , Page View         ,        328, Desktop, Social Media  , Data Protection,         0, High            , Returning
    667,      81194, 2024-02-13 16:57:00, Nigeria     , Lagos       , Contact , Click             ,        293, Desktop, Organic       , Risk Assessment,         0, High            , New
    589,      98494, 2024-02-05 17:58:00, Botswana    , Gaborone    , Contact , Page View         ,        127, Mobile , Organic       , Cloud Security ,         0, Medium          , New
    863,      23272, 2024-04-02 05:02:00, Kenya       , Nairobi     , Pricing , Page View         ,        316, Desktop, Social Media  , Risk Assessment,         0, High            , New
    760,      32675, 2024-01-06 10:33:00, Kenya       , Nairobi     , About   , Click             ,        132, Desktop, Social Media  , AI Security    ,         0, Medium          , New
    819,      94153, 2024-03-29 09:48:00, India       , Mumbai      , Pricing , Page View         ,         57, Mobile , Social Media  , Risk Assessment,         0, Low             , Returning
    132,      61009, 2024-03-02 08:17:00, USA         , New York    , Blog    , Page View         ,        316, Desktop, Organic       , AI Security    ,         0, High            , Returning
    501,      18081, 2024-03-29 14:00:00, India       , Mumbai      , Services, Page View         ,         71, Desktop, Organic       , AI Security    ,         0, Low             , Returning
    728,      24561, 2024-06-05 05:01:00, Kenya       , Nairobi     , About   , Event Registration,        374, Desktop, Direct        , Data Protection,         1, High            , New
    664,      75722, 2024-05-02 05:09:00, Kenya       , Nairobi     , Pricing , Scroll            ,        191, Desktop, Paid Ads      , Data Protection,         0, Medium          , New
    593,      20544, 2024-04-26 12:46:00, Nigeria     , Lagos       , Services, Page View         ,        153, Mobile , Paid Ads      , AI Security    ,         0, Medium          , New
    306,      38044, 2024-04-04 12:35:00, Botswana    , Gaborone    , Home    , Page View         ,         16, Mobile , Organic       , Cloud Security ,         0, Low             , Returning
    122,      71817, 2024-03-21 00:57:00, Kenya       , Nairobi     , Contact , Page View         ,        135, Mobile , Paid Ads      , Risk Assessment,         0, Medium          , New
   1079,      71248, 2024-03-07 06:11:00, India       , Mumbai      , Contact , Demo Request      ,        135, Mobile , Social Media  , AI Security    ,         1, Medium          , New
   1004,      51297, 2024-01-05 20:58:00, Kenya       , Nairobi     , Pricing , Demo Request      ,         93, Mobile , Paid Ads      , Cloud Security ,         1, Low             , New
